Πάροχος,Έτος,Μήνας,Ονομασία Τιμολογίου,Πάγιο (€/μήνα),Τελική Τιμή Προμήθειας (€/ΚWh),Πάγιο με Έκπτωση με προϋπόθεση (€/μήνα),Προϋπόθεση Έκπτωσης Παγίου,Τελική Τιμή Προμήθειας με Έκπτωση με προϋπόθεση (€/ΚWh),Προϋπόθεση Έκπτωσης Βασικής Τιμής Προμήθειας,Διάρκεια Σύμβασης,Παρατηρήσεις
ELPEDISON,2025,1,ELPEDISON Flex,5,0.20268,5,,0.20268,,12,"Από 02/11 το προϊόν είναι μη εμπορικά διαθέσιμο. Έως 31/12/2024 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9,90 €/μήνα. Από 01/01/2025 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα."
ELPEDISON,2025,1,ELPEDISON Win More,5,0.20268,5,,0.20268,,12,"Από 01/10 το προϊόν είναι μη εμπορικά διαθέσιμο. Έως 30/09/2024 Σταθερή Χρέωση Προμήθειας ημέρας και νύχτας και Πάγιο στα 9,90 €/μήνα. Από 01/10/2024 έως τη λήξη της σύμβασης η Χρέωση Προμήθειας καθίσταται κυμαινόμενη και το Πάγιο ανέρχεται στα 5 €/μήνα."
ELPEDISON,2025,1,ELPEDISON SMART,5,0.20268,5,,0.20268,,12,
ELPEDISON,2025,1,ELPEDISON Win,5.9,0.20268,5.9,,0.20268,,12,Από 12/07/2024 το προϊόν είναι μη εμπορικά διαθέσιμο.
ELPEDISON,2025,1,ELPEDISON Smart Up,4,0.20368,4,,0.20368,,12,Από 31/05/2024 το προϊόν είναι μη εμπορικά διαθέσιμο.
ΖΕΝΙΘ,2025,1,My Pet My Home,4.5,0.20401,5,,0.20401,,12,-H τιμή Ιανουαρίου 2025 θα ανακοινωθεί τον Φεβρουάριο του 2025.
PROTERGIA,2025,2,Value Lite,0,0.20445,0,,0.1796,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
ΗΡΩΝ,2025,1,YELLOW BENEFIT HOME,5.5,0.20461,5.5,,0.20461,,12,
ΕΛΙΝΟΙΛ,2025,2,Ειδικό,5,0.20535,5,,0.19535,,12,
ΗΡΩΝ,2025,1,BASIC HOME,5,0.20597,5,,0.15422,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
SOLAR ENERGY,2025,1,Ειδικό,5,0.206,5,-,0.1572,Συνέπεια,12,
ΗΡΩΝ,2025,1,PROTECT 4 HOME,5.5,0.20664,5.5,,0.20664,,12,
SOLAR ENERGY,2025,1,Οικιακό S1+,4.5,0.20798,4.5,,0.18668,Συνέπεια,12,
ΕΛΙΝΟΙΛ,2025,1,Power On! Home Zero,0,0.20813,0,,0.20813,,12,
ΗΡΩΝ,2025,1,YELLOW PLUS HOME,0,0.20851,0,,0.20851,,12,
EUNICE,2025,2,Ειδικό,5,0.2089,5,,0.2089,,Αορίστου Διάρκειας,
ΗΡΩΝ,2025,1,GENEROUS GUARANTEE HOME,5.5,0.21026,5.5,,0.19796,Συνέπεια και παραμονή,12,"Ενεργοποιώντας τη μηνιαία Χρέωση Guarantee 8€, ο Πελάτης διασφαλίζει ότι η χρέωση ενέργειας δεν θα υπερβεί τα 0,1700 €/kWh σε όλη τη διάρκεια της σύμβασης."
PROTERGIA,2025,2,Plus,0,0.21035,1,,0.1696,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,Μη εμπορικά διαθέσιμο
ΖΕΝΙΘ,2025,1,Power Home Student,5,0.21047,5,,0.21047,,12,
ΗΡΩΝ,2025,1,SIMPLY GENEROUS HOME,5.5,0.21151,5.5,,0.20689,Παραμονή,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Maxi Home Super Save,6,0.2118,6,,0.1998,Συνδυαστική έκπτωση συνέπειας και παράλληλης σύμβασης ρεύματος και φυσικού αερίου.,24,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Super Save+ Oct,6,0.2118,6,,0.1998,Συνδυαστική έκπτωση συνέπειας και παράλληλης σύμβασης ρεύματος και φυσικού αερίου.,24,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,MAXI Home Super+,6,0.2118,6,,0.1998,Συνδυαστική έκπτωση συνέπειας και παράλληλης σύμβασης ρεύματος και φυσικού αερίου.,24,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Super Save+,6,0.2118,6,-,0.1998,Συνδυαστική έκπτωση συνέπειας και παράλληλης σύμβασης ρεύματος και φυσικού αερίου.,24,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,MAXI Home Super,6,0.2118,6,,0.1998,,12,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy XL,14.9,0.2118,14.9,,0.1918,Συνέπεια,12,
SOLAR ENERGY,2025,1,Οικιακό S1,0,0.21228,0,,0.20333,Συνέπεια,12,
SOLAR ENERGY,2025,1,Οικιακό S1Ν,0,0.21228,0,,0.20333,Συνέπεια,12,
ELPEDISON,2025,1,ELPEDISON Smart Zero,0,0.21678,0,,0.21678,,12,
ΗΡΩΝ,2025,2,YELLOW ONE HOME,5,0.21837,5,,0.19497,Συνέπεια,12,
ELPEDISON,2025,2,Ειδικό,5,0.22,5,,0.22,Οριζόντια έκπτωση χωρίς προυπόθεση,Αορίστου Διάρκειας,
ELPEDISON,2025,1,Ειδικό,5,0.22,5,,0.22,,Αορίστου Διάρκειας,
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ρεύμα MAXI Home Economy,9.9,0.2218,9.9,,0.1918,Συνέπεια,12,
ΗΡΩΝ,2025,1,Yellow Free Student,0,0.22226,0,,0.21806,Παραμονή,12,
ΗΡΩΝ,2025,1,Yellow Free HOME,0,0.22226,0,,0.21806,Παραμονή,12,
ΗΡΩΝ,2025,1,SOLAR GENEROUS HOME,5.5,0.22226,5.5,,0.20346,Συνέπεια και παραμονή,12,
PROTERGIA,2025,1,Plus,1,0.22265,1,,0.1696,Οριζόντια έκπτωση χωρίς προυπόθεση,12,
PROTERGIA,2025,1,Helios Value,0,0.22265,0,,0.1696,Οριζόντια έκπτωση χωρίς προυπόθεση,12,"100% έκπτωση στη χρέωση ενέργειας του ανταγωνιστικού σκέλους, για τις πρώτες 1.000kWh/έτος που τυχόν καταναλωθούν εκτός ενεργειακού συμψηφισμού"
ΖΕΝΙΘ,2025,1,Power Home More,5,0.22423,5,0,0.21533,10% έκπτωση Dual Energy & Συνέπειας,12,
ΗΡΩΝ,2025,1,ECO GENEROUS HOME,6.5,0.22726,6.5,,0.20251,Συνέπεια και παραμονή,12,
ΗΡΩΝ,2025,1,DOUBLE GENEROUS HOME,5.5,0.22726,5.5,,0.19558,Συνέπεια και παραμονή,12,
PROTERGIA,2025,1,Value Standard,5,0.2273,5,,0.2223,Συνέπεια,12,
PROTERGIA,2025,2,Value Standard,5,0.2273,5,,0.169,Συνέπεια,12,
SOLAR ENERGY,2025,2,Ειδικό,5,0.22881,5,-,0.17391,Συνέπεια,6,
ΗΡΩΝ,2025,2,BASIC HOME,5,0.22897,5,,0.15997,ΣΥΝΕΠΕΙΑ,Αορίστου Διάρκειας,
ΖΕΝΙΘ,2025,2,Ειδικό,5,0.23101,5,,0.23101,-,Αορίστου Διάρκειας,
ΔΕΗ,2025,1,myHome4Student,0,0.23155,2.9,,0.226,,12,
NRG,2025,2,Ειδικό,5,0.239,3.5,ebill & πάγια εντολή,0.197,συνέπεια,Αορίστου Διάρκειας,
VOLTON,2025,1,Ειδικό,4.9,0.24202,4.9,,0.21102,Έκπτωση Συνέπειας,12,"Για νέες αιτήσεις, δώρο 50€"
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,1,Ειδικό,5,0.243,5,,0.189,Συνέπεια,Αορίστου Διάρκειας,
PROTERGIA,2025,1,Value Student,9.9,0.24318,9.9,,0.22318,Συνέπεια,12,
PROTERGIA,2025,1,Value Student,9.9,0.24318,9.9,,0.001,,12,Φοιτητικό Πρόγραμμα. (Μηδενική κυμαινόμενη χρέωση προμήθειας για τις πρώτες 115kWh κάθε μήνα).
ΦΥΣΙΚΟ ΑΕΡΙΟ ΕΛΛΗΝΙΚΗ ΕΤΑΙΡΙΑ ΕΝΕΡΓΕΙΑΣ,2025,2,Ειδικό,5,0.248,5,,0.19403,συνέπεια,24,
VOLTON,2025,2,Ειδικό,4.9,0.24895,4.9,,0.19848,Συνέπεια,12,Δώρο 50€ για νέες αιτήσεις
PROTERGIA,2025,2,Value Student,9.9,0.24945,9.9,,0.22945,Έκπτωση Συνέπειας,12,
PROTERGIA,2025,2,Value Special,5,0.25,5,,0.159,,Αορίστου Διάρκειας,
PROTERGIA,2025,1,Value Special,5,0.25,5,,0.159,Συνέπεια,Αορίστου Διάρκειας,
NRG,2025,1,nrg simple,5,0.27024,3.5,ebill & πάγια εντολή,0.189,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
NRG,2025,1,nrg simple 1.0,5,0.27024,3.5,ebill & πάγια εντολή,0.119,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
NRG,2025,1,nrg simple 2.0,5,0.27024,3.5,ebill & πάγια εντολή,0.089,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
NRG,2025,2,nrg simple,5,0.27743,3.5,ebill & πάγια εντολή,0.199,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
NRG,2025,2,nrg simple 1.0,5,0.27743,3.5,ebill & πάγια εντολή,0.149,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
NRG,2025,2,nrg simple 2.0,5,0.27743,3.5,ebill & πάγια εντολή,0.089,Οριζόντια έκπτωση χωρίς προϋπόθεση,12,
SOLAR ENERGY,2025,2,Οικιακό FIXED,10,0.4,10,,0.36,,12,
SOLAR ENERGY,2025,1,Οικιακό FIXED,10,0.4,10,,0.36,,12,
